# gene name           KO     thrshld  score   E-value KO definition
* LOC_Os03g19520.3    K21842   53.30  505.4  2.3e-151 protein EFR3
* LOC_Os03g19530.1    K12835  696.80  939.1  1.6e-282 ATP-dependent RNA helicase DDX42 [EC:3.6.4.13]
* LOC_Os03g19570.1    K14405   77.77   94.0   7.4e-27 pre-mRNA 3'-end-processing factor FIP1
* LOC_Os03g19590.1    K12121 2034.20 2245.8         0 phytochrome B
* LOC_Os03g19610.1    K01051   80.40  277.6     9e-83 pectinesterase [EC:3.1.1.11]
* LOC_Os03g19680.1    K01692  311.83  329.5   1.3e-98 enoyl-CoA hydratase [EC:4.2.1.17]
* LOC_Os03g19870.2    K24104   76.97  315.0   5.8e-94 GPN-loop GTPase
* LOC_Os03g19870.1    K24104   76.97  315.0   5.8e-94 GPN-loop GTPase
* LOC_Os03g19870.3    K24104   76.97  315.0   5.8e-94 GPN-loop GTPase
* LOC_Os03g19890.1    K03949   62.63  184.3   1.1e-54 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
* LOC_Os03g19900.1    K09285  276.30  417.0  6.7e-125 AP2-like factor, ANT lineage
* LOC_Os03g19920.1    K14376   81.27  408.4  3.4e-122 poly(A) polymerase [EC:2.7.7.19]
* LOC_Os03g19930.4    K01756  296.67  372.1  3.5e-111 adenylosuccinate lyase [EC:4.3.2.2]
* LOC_Os03g19930.3    K01756  296.67  424.1  6.7e-127 adenylosuccinate lyase [EC:4.3.2.2]
* LOC_Os03g19930.2    K01756  296.67  353.4  1.6e-105 adenylosuccinate lyase [EC:4.3.2.2]
* LOC_Os03g19930.1    K01756  296.67  589.7  5.3e-177 adenylosuccinate lyase [EC:4.3.2.2]
* LOC_Os03g19960.1    K12820 1001.77 1400.2         0 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]
* LOC_Os03g19960.2    K12820 1001.77 1016.0         0 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]
* LOC_Os03g19970.1    K03377   44.77  602.7  7.9e-181 N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]
* LOC_Os03g20010.2    K22074   90.60  123.2   7.8e-36 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
* LOC_Os03g20010.1    K22074   90.60  129.2   1.2e-37 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
* LOC_Os03g20090.1    K09422  178.00  227.2   1.4e-67 transcription factor MYB, plant
* LOC_Os03g20100.1    K02945  150.77  261.9   6.8e-78 small subunit ribosomal protein S1
* LOC_Os03g20120.1    K18819  158.87  667.1  1.9e-200 inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]
* LOC_Os03g20140.1    K23222   77.00  135.8   8.7e-40 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os03g20170.1    K12608  147.73  452.8  5.9e-136 CCR4-NOT complex subunit CAF16
* LOC_Os03g20180.2    K20102  128.03  436.0  2.1e-130 YTH domain-containing family protein
* LOC_Os03g20180.1    K20102  128.03  436.0  2.1e-130 YTH domain-containing family protein
* LOC_Os03g20190.1    K23541   38.97  171.5     2e-50 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os03g20300.2    K00036  364.80  621.5  9.8e-187 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
* LOC_Os03g20300.3    K00036  364.80  620.4    2e-186 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
* LOC_Os03g20300.1    K00036  364.80  621.5  9.8e-187 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
* LOC_Os03g20310.2    K14431  129.13  584.2    1e-175 transcription factor TGA
* LOC_Os03g20310.1    K14431  129.13  584.2    1e-175 transcription factor TGA
* LOC_Os03g20310.4    K14431  129.13  584.2    1e-175 transcription factor TGA
* LOC_Os03g20310.3    K14431  129.13  584.2    1e-175 transcription factor TGA
* LOC_Os03g20340.1    K07199  111.50  285.5   4.9e-85 5'-AMP-activated protein kinase, regulatory beta subunit
* LOC_Os03g20370.1    K02183  201.03  324.8   2.3e-97 calmodulin
* LOC_Os03g20370.1    K13448  152.17  207.3   1.8e-61 calcium-binding protein CML
* LOC_Os03g20380.1    K07198  459.93  530.5  4.4e-159 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g20380.2    K07198  459.93  468.9    2e-140 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g20380.3    K07198  459.93  492.8  1.1e-147 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g20410.1    K09875  136.50  294.5     6e-88 aquaporin SIP
* LOC_Os03g20420.2    K01209   88.50  342.8  2.5e-102 alpha-L-arabinofuranosidase [EC:3.2.1.55]
* LOC_Os03g20420.3    K01209   88.50  342.8  2.5e-102 alpha-L-arabinofuranosidase [EC:3.2.1.55]
* LOC_Os03g20420.1    K01209   88.50  477.5  4.5e-143 alpha-L-arabinofuranosidase [EC:3.2.1.55]
* LOC_Os03g20460.1    K00942  190.90  230.8   1.7e-68 guanylate kinase [EC:2.7.4.8]
* LOC_Os03g20460.2    K00942  190.90  191.7   1.4e-56 guanylate kinase [EC:2.7.4.8]
* LOC_Os03g20470.1    K17278  144.23  213.7   2.2e-63 membrane-associated progesterone receptor component
* LOC_Os03g20470.2    K17278  144.23  204.5   1.5e-60 membrane-associated progesterone receptor component
* LOC_Os03g20520.1    K20367  254.57  586.2  3.7e-176 endoplasmic reticulum-Golgi intermediate compartment protein 3
* LOC_Os03g20560.1    K23735  268.37  311.2     7e-93 lipoyl(octanoyl) transferase 2 [EC:2.3.1.181]
* LOC_Os03g20560.1    K03801  237.57  260.4     2e-77 lipoyl(octanoyl) transferase [EC:2.3.1.181]
* LOC_Os03g20570.1    K15441  178.00  301.4   5.4e-90 tRNA-specific adenosine deaminase 2 [EC:3.5.4.-]
* LOC_Os03g20630.1    K02503   84.20  134.6   1.7e-39 histidine triad (HIT) family protein [EC:3.9.1.-]
* LOC_Os03g20630.2    K02503   84.20  171.1   1.1e-50 histidine triad (HIT) family protein [EC:3.9.1.-]
* LOC_Os03g20650.1    K14432   81.70  179.0   1.1e-52 ABA responsive element binding factor
* LOC_Os03g20670.1    K23538   81.60  227.7     2e-67 ELMO domain-containing protein
* LOC_Os03g20700.1    K03403 1221.23 1871.3         0 magnesium chelatase subunit H [EC:6.6.1.1]
* LOC_Os03g20700.2    K03403 1221.23 1871.3         0 magnesium chelatase subunit H [EC:6.6.1.1]
* LOC_Os03g20720.1    K15044  138.97  267.6   2.3e-79 Arf-GAP domain and FG repeats-containing protein 1
* LOC_Os03g20750.1    K11518   66.33  374.0  7.1e-112 mitochondrial import receptor subunit TOM40
* LOC_Os03g20780.1    K14514  200.60  678.1  8.5e-204 ethylene-insensitive protein 3
* LOC_Os03g20790.1    K14514  200.60  679.8  2.6e-204 ethylene-insensitive protein 3
* LOC_Os03g20840.1    K13457  480.30  519.6  8.1e-156 disease resistance protein RPM1
* LOC_Os03g20870.1    K11982  131.07  197.3   2.2e-58 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* LOC_Os03g20880.1    K00873   59.30  509.0  9.6e-153 pyruvate kinase [EC:2.7.1.40]
* LOC_Os03g20930.1    K07497   14.00   26.4   2.5e-06 putative transposase
* LOC_Os03g21020.1    K13157  166.23  551.8  1.3e-165 U11/U12 small nuclear ribonucleoprotein 65 kDa protein
* LOC_Os03g21090.1    K23280  347.97  790.2  4.2e-238 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* LOC_Os03g21120.1    K14641  404.70  812.2  3.4e-244 apyrase [EC:3.6.1.5]
* LOC_Os03g21210.1    K01179   44.23  227.0   3.3e-67 endoglucanase [EC:3.2.1.4]
* LOC_Os03g21250.1    K13648  577.40  674.2  1.5e-202 alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]
* LOC_Os03g21260.1    K15633   74.77  602.4  4.9e-181 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
* LOC_Os03g21330.1    K17604  159.30  322.7   2.6e-96 zinc finger SWIM domain-containing protein 3
* LOC_Os03g21350.1    K07497   14.00   24.9   7.2e-06 putative transposase
* LOC_Os03g21390.1    K22939   40.30  107.4   4.2e-31 immediate early response 3-interacting protein 1
* LOC_Os03g21460.1    K01069  158.33  302.2   4.2e-90 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* LOC_Os03g21490.1    K09013  158.27  417.0  2.7e-125 Fe-S cluster assembly ATP-binding protein
* LOC_Os03g21490.2    K09013  158.27  417.0  2.7e-125 Fe-S cluster assembly ATP-binding protein
* LOC_Os03g21530.1    K14569  346.77 1528.9         0 ribosome biogenesis protein BMS1
* LOC_Os03g21550.1    K03238   95.70  408.0  2.5e-122 translation initiation factor 2 subunit 2
* LOC_Os03g21550.2    K03238   95.70  408.0  2.5e-122 translation initiation factor 2 subunit 2
* LOC_Os03g21560.1    K08902   59.47  202.1   2.6e-60 photosystem II Psb27 protein
* LOC_Os03g21620.1    K04688  561.37  619.3  3.6e-186 ribosomal protein S6 kinase beta [EC:2.7.11.1]
* LOC_Os03g21740.1    K01873  586.87  779.2  4.2e-234 valyl-tRNA synthetase [EC:6.1.1.9]
* LOC_Os03g21800.2    K20557   96.20  262.2   5.3e-78 transcription factor VIP1
* LOC_Os03g21800.1    K20557   96.20  262.2   5.3e-78 transcription factor VIP1
* LOC_Os03g21810.1    K01411 1022.53 1256.3         0 nardilysin [EC:3.4.24.61]
* LOC_Os03g21810.1    K01408 1020.83 1021.3         0 insulysin [EC:3.4.24.56]
* LOC_Os03g21820.1    K20628   83.20  225.3   8.4e-67 expansin
* LOC_Os03g21830.1    K23518  212.43  260.6   1.9e-77 O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]
* LOC_Os03g21890.1    K03549  130.53 1186.0         0 KUP system potassium uptake protein
* LOC_Os03g21900.1    K01599  179.50  442.5  1.3e-132 uroporphyrinogen decarboxylase [EC:4.1.1.37]
* LOC_Os03g21914.1    K24104   76.97  401.9  2.6e-120 GPN-loop GTPase
* LOC_Os03g21940.1    K02885   62.20  384.7  2.3e-115 large subunit ribosomal protein L19e
* LOC_Os03g21950.1    K01679  637.97  989.6    6e-298 fumarate hydratase, class II [EC:4.2.1.2]
* LOC_Os03g21960.1    K00827  557.07  794.5  4.5e-239 alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
* LOC_Os03g21980.1    K06173  221.97  240.5   2.2e-71 tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
* LOC_Os03g21990.1    K12862  215.07  785.9  2.3e-236 pleiotropic regulator 1
* LOC_Os03g22010.4    K00430  110.93  281.7   8.4e-84 peroxidase [EC:1.11.1.7]
* LOC_Os03g22010.1    K00430  110.93  492.3  1.4e-147 peroxidase [EC:1.11.1.7]
* LOC_Os03g22010.3    K00430  110.93  328.1   7.2e-98 peroxidase [EC:1.11.1.7]
* LOC_Os03g22010.2    K00430  110.93  443.6  7.6e-133 peroxidase [EC:1.11.1.7]
* LOC_Os03g22020.1    K00430  110.93  479.1  1.4e-143 peroxidase [EC:1.11.1.7]
* LOC_Os03g22050.1    K07198  459.93  525.6  1.3e-157 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g22050.4    K07198  459.93  520.4    5e-156 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g22050.3    K07198  459.93  525.6  1.3e-157 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g22050.2    K07198  459.93  525.6  1.3e-157 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os03g22100.1    K07497   14.00   29.6   2.6e-07 putative transposase
* LOC_Os03g22120.1    K00695  632.27 1511.1         0 sucrose synthase [EC:2.4.1.13]
* LOC_Os03g22120.3    K00695  632.27 1295.4         0 sucrose synthase [EC:2.4.1.13]
* LOC_Os03g22120.2    K00695  632.27 1238.8         0 sucrose synthase [EC:2.4.1.13]
* LOC_Os03g22160.1    K00951  604.43  707.1  2.7e-212 GTP pyrophosphokinase [EC:2.7.6.5]
* LOC_Os03g22170.1    K09286   88.23  150.4   3.9e-44 EREBP-like factor
* LOC_Os03g22180.1    K02883   28.63  379.1  1.1e-113 large subunit ribosomal protein L18e
* LOC_Os03g22190.1    K10895  238.43 1023.9         0 fanconi anemia group I protein
* LOC_Os03g22200.1    K15382   57.10  309.7   1.6e-92 solute carrier family 50 (sugar transporter)
* LOC_Os03g22200.2    K15382   57.10  171.6   1.5e-50 solute carrier family 50 (sugar transporter)
* LOC_Os03g22300.1    K07497   14.00   31.5   7.1e-08 putative transposase
* LOC_Os03g22320.1    K14567   82.57  671.7  1.4e-201 U3 small nucleolar RNA-associated protein 14
* LOC_Os03g22340.1    K02891  100.90  219.3   5.7e-65 large subunit ribosomal protein L22e
* LOC_Os03g22350.1    K14859  136.17  457.7  4.3e-137 ribosome biogenesis protein SSF1/2
* LOC_Os03g22380.1    K12890  331.90  399.8  5.8e-120 serine/arginine-rich splicing factor 1
* LOC_Os03g22380.2    K12890  331.90  420.5  2.8e-126 serine/arginine-rich splicing factor 1
* LOC_Os03g22380.3    K12890  331.90  408.1  1.7e-122 serine/arginine-rich splicing factor 1
* LOC_Os03g22420.1    K22530  332.40  406.8  8.5e-122 ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
* LOC_Os03g22430.1    K01358   48.87  208.6   9.7e-62 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* LOC_Os03g22430.2    K01358   48.87   71.1   6.1e-20 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* LOC_Os03g22460.2    K02971   69.93  142.7   7.3e-42 small subunit ribosomal protein S21e
* LOC_Os03g22540.1    K15601  531.67  679.4  5.2e-204 [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65]
* LOC_Os03g22550.1    K13283  188.33  206.7   2.1e-61 ferrous-iron efflux pump FieF
* LOC_Os03g22570.1    K12882  143.40  821.1  7.3e-247 nuclear cap-binding protein subunit 1
* LOC_Os03g22570.2    K12882  143.40  821.3  6.6e-247 nuclear cap-binding protein subunit 1
* LOC_Os03g22590.1    K15382   57.10  307.6   7.3e-92 solute carrier family 50 (sugar transporter)
* LOC_Os03g22610.1    K01056   49.57  177.1   2.3e-52 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
* LOC_Os03g22610.2    K01056   49.57  253.5   1.2e-75 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
* LOC_Os03g22680.1    K10144  320.50  376.4  9.2e-113 RING finger and CHY zinc finger domain-containing protein 1 [EC:2.3.2.27]
* LOC_Os03g22690.1    K14309  168.60  719.1  4.7e-216 nuclear pore complex protein Nup93
* LOC_Os03g22700.1    K08819  507.20  522.4  9.8e-157 cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
* LOC_Os03g22730.1    K14565  538.23  833.8  5.6e-251 nucleolar protein 58
* LOC_Os03g22740.1    K14565  538.23  834.9  2.6e-251 nucleolar protein 58
* LOC_Os03g22780.1    K19073  259.13  593.8  9.2e-179 divinyl chlorophyllide a 8-vinyl-reductase [EC:1.3.1.75]
* LOC_Os03g22800.3    K19600  148.93  280.8   1.6e-83 tubby and related proteins
* LOC_Os03g22800.1    K19600  148.93  375.0    5e-112 tubby and related proteins
* LOC_Os03g22800.2    K19600  148.93  280.8   1.6e-83 tubby and related proteins
* LOC_Os03g22810.1    K04565   86.30  278.8   3.2e-83 superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
* LOC_Os03g22830.1    K11982  131.07  251.9   5.2e-75 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* LOC_Os03g22830.2    K11982  131.07  251.9   5.2e-75 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* LOC_Os03g22880.1    K14564  542.63  814.6  6.7e-245 nucleolar protein 56
* LOC_Os03g22890.2    K14537  403.00  838.5  3.1e-252 nuclear GTP-binding protein
* LOC_Os03g22890.1    K14537  403.00  838.5  3.1e-252 nuclear GTP-binding protein
* LOC_Os03g22900.1    K11665  927.40 1275.9         0 chromatin-remodeling ATPase INO80 [EC:5.6.2.-]
* LOC_Os03g22950.1    K03955  101.63  155.3   8.8e-46 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein
* LOC_Os03g22950.1    K02078   41.17   86.8   1.1e-24 acyl carrier protein
* LOC_Os03g23020.1    K14851   36.07  104.7   3.7e-30 ribosomal RNA-processing protein 17
* LOC_Os03g23110.1    K07497   14.00   29.2   3.5e-07 putative transposase
* LOC_Os03g23220.1    K07497   14.00   27.6   1.1e-06 putative transposase
* LOC_Os03g23800.1    K07497   14.00   25.1   6.2e-06 putative transposase
* LOC_Os03g23830.1    K07497   14.00   27.1   1.6e-06 putative transposase
* LOC_Os03g23840.1    K07497   14.00   27.5   1.1e-06 putative transposase
* LOC_Os03g23860.1    K07497   14.00   27.7     1e-06 putative transposase
* LOC_Os03g23935.1    K12662  249.73  672.1  3.7e-202 U4/U6 small nuclear ribonucleoprotein PRP4
* LOC_Os03g23950.1    K12392  973.63 1420.6         0 AP-1 complex subunit beta-1
* LOC_Os03g23970.1    K00586  295.27  527.7  2.5e-158 diphthine methyl ester synthase [EC:2.1.1.314]
* LOC_Os03g23970.2    K00586  295.27  527.7  2.5e-158 diphthine methyl ester synthase [EC:2.1.1.314]
* LOC_Os03g24020.1    K02933  109.17  292.9   1.2e-87 large subunit ribosomal protein L6
* LOC_Os03g24030.1    K17479   64.97  252.9   2.6e-75 glutaredoxin domain-containing cysteine-rich protein 1
* LOC_Os03g24040.1    K04506   87.20  278.1   7.5e-83 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os03g24050.1    K18158  173.67  209.1     9e-62 nuclear control of ATPase protein 2
* LOC_Os03g24060.1    K17969   43.70  193.7   2.4e-57 mitochondrial fission 1 protein
* LOC_Os03g24160.1    K00889  355.13  592.7  7.3e-178 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
* LOC_Os03g24170.1    K00889  355.13  544.7  2.3e-163 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
* LOC_Os03g24190.1    K07497   14.00   33.2   2.1e-08 putative transposase
* LOC_Os03g24240.1    K10760  229.57  381.7  1.9e-114 adenylate dimethylallyltransferase (cytokinin synthase) [EC:2.5.1.27 2.5.1.112]
* LOC_Os03g24380.1    K00432   56.90  268.6   6.2e-80 glutathione peroxidase [EC:1.11.1.9]
* LOC_Os03g24440.1    K10760  229.57  380.3  5.1e-114 adenylate dimethylallyltransferase (cytokinin synthase) [EC:2.5.1.27 2.5.1.112]
* LOC_Os03g24460.2    K00826  176.83  178.3   1.3e-52 branched-chain amino acid aminotransferase [EC:2.6.1.42]
* LOC_Os03g24510.1    K20893  455.77  495.8  3.9e-149 probable galacturonosyltransferase-like 1 [EC:2.4.1.-]
* LOC_Os03g24520.1    K08272   95.33  459.1  1.5e-137 calcium binding protein 39
* LOC_Os03g24520.2    K08272   95.33  295.2   6.6e-88 calcium binding protein 39
* LOC_Os03g24580.1    K23565   40.00  201.9   7.1e-60 ER membrane protein complex subunit 4
* LOC_Os03g24580.2    K23565   40.00  158.0   1.6e-46 ER membrane protein complex subunit 4
* LOC_Os03g24590.1    K15032   84.20  109.3     1e-31 mTERF domain-containing protein, mitochondrial
* LOC_Os03g24600.1    K07305  126.27  203.6   1.6e-60 peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
* LOC_Os03g24640.1    K23754  629.53  888.5  9.6e-268 eudesmane-5,11-diol synthase [EC:4.2.3.197]
* LOC_Os03g24680.1    K23754  629.53  783.1    8e-236 eudesmane-5,11-diol synthase [EC:4.2.3.197]
* LOC_Os03g24690.1    K23754  629.53  880.2  3.1e-265 eudesmane-5,11-diol synthase [EC:4.2.3.197]
* LOC_Os03g24760.1    K23754  629.53  868.0  1.5e-261 eudesmane-5,11-diol synthase [EC:4.2.3.197]
* LOC_Os03g24790.1    K07497   14.00   26.7     2e-06 putative transposase
* LOC_Os03g24844.3    K06940   30.47   47.1   1.4e-12 uncharacterized protein
* LOC_Os03g24844.1    K06940   30.47   69.5     2e-19 uncharacterized protein
* LOC_Os03g24860.1    K03444  514.77  704.9  4.5e-212 MFS transporter, SP family, ERD6-like sugar transporter
* LOC_Os03g24870.1    K03444  514.77  730.3  8.9e-220 MFS transporter, SP family, ERD6-like sugar transporter
* LOC_Os03g24890.1    K12900  196.77  199.9   3.6e-59 serine/arginine-rich splicing factor 10
* LOC_Os03g24900.2    K20003  170.03  264.6   1.1e-78 palmitoyltransferase ZDHHC4 [EC:2.3.1.225]
* LOC_Os03g24900.1    K20003  170.03  405.3  2.4e-121 palmitoyltransferase ZDHHC4 [EC:2.3.1.225]
* LOC_Os03g24920.1    K03873   63.37   82.5   2.2e-23 elongin-B
* LOC_Os03g24940.1    K26540  554.93  655.9  1.9e-197 stomatal closure-related actin-binding protein
* LOC_Os03g24940.2    K26540  554.93  655.9  1.9e-197 stomatal closure-related actin-binding protein
* LOC_Os03g25050.1    K04078   32.20  124.7   1.9e-36 chaperonin GroES
* LOC_Os03g25070.1    K13412  482.53  506.1  7.7e-152 calcium-dependent protein kinase [EC:2.7.11.1]
* LOC_Os03g25120.1    K09419  208.93  266.3   2.3e-79 heat shock transcription factor, other eukaryote
* LOC_Os03g25130.2    K23312   62.13  222.5     5e-66 CST complex subunit STN1
* LOC_Os03g25130.1    K23312   62.13  222.5     5e-66 CST complex subunit STN1
* LOC_Os03g25140.1    K09571  231.93  269.6   3.1e-80 FK506-binding protein 4/5 [EC:5.2.1.8]
* LOC_Os03g25150.1    K13083  714.37  840.2  3.1e-253 flavonoid 3',5'-hydroxylase [EC:1.14.14.81]
* LOC_Os03g25260.1    K11663   55.63  135.5   1.6e-39 zinc finger HIT domain-containing protein 1
* LOC_Os03g25270.2    K01304   56.13  162.4     8e-48 pyroglutamyl-peptidase [EC:3.4.19.3]
* LOC_Os03g25270.1    K01304   56.13  162.4     8e-48 pyroglutamyl-peptidase [EC:3.4.19.3]
* LOC_Os03g25270.3    K01304   56.13  162.4     8e-48 pyroglutamyl-peptidase [EC:3.4.19.3]
* LOC_Os03g25270.4    K01304   56.13  162.4     8e-48 pyroglutamyl-peptidase [EC:3.4.19.3]
* LOC_Os03g25280.1    K00430  110.93  461.3  3.4e-138 peroxidase [EC:1.11.1.7]
* LOC_Os03g25300.1    K00430  110.93  460.6  5.6e-138 peroxidase [EC:1.11.1.7]
* LOC_Os03g25320.1    K00430  110.93  453.2  9.7e-136 peroxidase [EC:1.11.1.7]
* LOC_Os03g25330.1    K00430  110.93  450.7  5.5e-135 peroxidase [EC:1.11.1.7]
* LOC_Os03g25340.1    K00430  110.93  443.7  7.1e-133 peroxidase [EC:1.11.1.7]
* LOC_Os03g25360.1    K00430  110.93  458.5  2.4e-137 peroxidase [EC:1.11.1.7]
* LOC_Os03g25370.1    K00430  110.93  466.9  6.6e-140 peroxidase [EC:1.11.1.7]
* LOC_Os03g25390.2    K08494   94.53  457.6  1.3e-137 novel plant SNARE
* LOC_Os03g25390.1    K08494   94.53  465.8    4e-140 novel plant SNARE
* LOC_Os03g25390.3    K08494   94.53  258.2   6.4e-77 novel plant SNARE
* LOC_Os03g25400.1    K00898  351.20  509.3  9.7e-153 pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
* LOC_Os03g25450.1    K11131  196.73  914.8  4.2e-275 H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]
* LOC_Os03g25470.1    K14686   49.67  101.1   3.3e-29 solute carrier family 31 (copper transporter), member 1
* LOC_Os03g25480.1    K20660  652.33  795.4    1e-239 cytochrome P450 family 709
* LOC_Os03g25550.1    K09422  178.00  240.1   1.7e-71 transcription factor MYB, plant
* LOC_Os03g25600.1    K01102  186.97  227.9   1.5e-67 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
* LOC_Os03g25600.2    K01102  186.97  227.9   1.5e-67 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
* LOC_Os03g25620.1    K14798   78.67  261.5   1.3e-77 protein LTV1
* LOC_Os03g25770.1    K12900  196.77  249.6   2.6e-74 serine/arginine-rich splicing factor 10
* LOC_Os03g25770.2    K12900  196.77  249.1   3.7e-74 serine/arginine-rich splicing factor 10
* LOC_Os03g25930.1    K20352  173.50  272.0   5.1e-81 p24 family protein delta-1
* LOC_Os03g25940.4    K01739  451.03  509.6  3.6e-153 cystathionine gamma-synthase [EC:2.5.1.48]
* LOC_Os03g25940.1    K01739  451.03  506.5  3.1e-152 cystathionine gamma-synthase [EC:2.5.1.48]
* LOC_Os03g25970.2    K21444  216.97  413.9  6.1e-124 poly(rC)-binding protein 3/4
* LOC_Os03g25970.1    K21444  216.97  413.9  6.1e-124 poly(rC)-binding protein 3/4
* LOC_Os03g25980.2    K14948  586.97  603.6  3.1e-181 polypyrimidine tract-binding protein 2
* LOC_Os03g25980.1    K14948  586.97  603.6  3.1e-181 polypyrimidine tract-binding protein 2
* LOC_Os03g25990.1    K20628   83.20  215.8   6.3e-64 expansin
* LOC_Os03g26000.1    K18158  173.67  204.4   2.4e-60 nuclear control of ATPase protein 2
* LOC_Os03g26030.1    K18158  173.67  463.6  9.6e-139 nuclear control of ATPase protein 2
* LOC_Os03g26044.1    K13680  670.33  793.2  7.6e-239 beta-mannan synthase [EC:2.4.1.32]
* LOC_Os03g26090.1    K05283  125.30  521.6  1.4e-156 glucosaminylphosphatidylinositol acyltransferase [EC:2.3.-.-]
* LOC_Os03g26130.1    K09422  178.00  233.3   1.9e-69 transcription factor MYB, plant
* LOC_Os03g26290.1    K07497   14.00   49.9   1.8e-13 putative transposase
* LOC_Os03g26430.1    K01785   45.90  440.2  6.3e-132 aldose 1-epimerase [EC:5.1.3.3]
* LOC_Os03g26440.1    K01855  208.43  301.3   9.8e-90 tRNA pseudouridine38/39 synthase [EC:5.4.99.45]
* LOC_Os03g26450.1    K10365   69.60  412.7  9.8e-124 F-actin-capping protein subunit beta
* LOC_Os03g26460.2    K15730  159.90  176.1   6.5e-52 cytosolic prostaglandin-E synthase [EC:5.3.99.3]
* LOC_Os03g26460.1    K15730  159.90  183.2   4.3e-54 cytosolic prostaglandin-E synthase [EC:5.3.99.3]
* LOC_Os03g26530.1    K15397  129.00  584.8  1.4e-175 3-ketoacyl-CoA synthase [EC:2.3.1.199]
* LOC_Os03g26570.1    K07497   14.00   38.0   7.3e-10 putative transposase
* LOC_Os03g26620.1    K15397  129.00  547.7  2.4e-164 3-ketoacyl-CoA synthase [EC:2.3.1.199]
* LOC_Os03g26630.2    K12875  139.23  399.3  2.6e-119 apoptotic chromatin condensation inducer in the nucleus
* LOC_Os03g26630.1    K12875  139.23  399.3  2.6e-119 apoptotic chromatin condensation inducer in the nucleus
* LOC_Os03g26760.1    K07497   14.00   27.4   1.3e-06 putative transposase
* LOC_Os03g26860.1    K02948   92.90  146.4   6.3e-43 small subunit ribosomal protein S11
* LOC_Os03g26910.1    K01087  166.30  394.1  4.4e-118 trehalose 6-phosphate phosphatase [EC:3.1.3.12]
* LOC_Os03g26920.1    K16297  481.97  716.6  1.2e-215 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* LOC_Os03g26930.1    K16297  481.97  701.1  6.2e-211 serine carboxypeptidase-like clade II [EC:3.4.16.-]
